no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,type_of_meal_plan,required_car_parking_space,room_type_reserved,lead_time,market_segment_type,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,avg_price_per_room,no_of_special_requests,arrival_day,booking_status
1,0,0,2,Meal Plan 1,N,Room_Type 1,86,Offline,N,0,0,87.5,0,268,Not_Canceled
2,0,1,4,Meal Plan 1,N,Room_Type 1,0,Offline,N,0,0,120,0,256,Not_Canceled
1,0,0,1,Meal Plan 1,N,Room_Type 1,1,Offline,N,0,0,109.65,0,287,Not_Canceled
2,0,4,11,Not Selected,N,Room_Type 1,35,Online,N,0,0,74.8,2,334,Canceled
2,0,1,3,Meal Plan 1,N,Room_Type 1,13,Online,N,0,0,85.32,0,151,Not_Canceled
2,0,0,4,Meal Plan 1,N,Room_Type 1,140,Offline,N,0,0,80.75,0,167,Not_Canceled
2,0,2,3,Meal Plan 1,N,Room_Type 1,6,Online,N,0,0,91.44,1,113,Not_Canceled
3,0,2,1,Meal Plan 1,N,Room_Type 4,49,Online,N,0,0,158.4,1,289,Canceled
3,0,0,1,Meal Plan 1,N,Room_Type 4,203,Online,N,0,0,137.7,1,240,Canceled
2,0,1,2,Not Selected,N,Room_Type 1,13,Online,N,0,0,140,2,291,Not_Canceled
2,0,1,2,Not Selected,N,Room_Type 1,52,Online,N,0,0,94.5,0,200,Canceled
2,0,0,1,Meal Plan 1,N,Room_Type 1,0,Complementary,Y,0,2,0,0,266,Not_Canceled
2,0,0,2,Not Selected,N,Room_Type 1,18,Online,N,0,0,81,0,57,Not_Canceled
2,0,0,2,Meal Plan 1,N,Room_Type 1,58,Online,N,0,0,93.6,1,344,Not_Canceled
2,0,0,4,Meal Plan 1,N,Room_Type 1,129,Online,N,0,0,99.45,0,131,Not_Canceled
2,0,1,2,Meal Plan 1,N,Room_Type 1,163,Online,N,0,0,126.9,2,256,Canceled
2,0,2,3,Meal Plan 1,N,Room_Type 1,66,Online,N,0,0,88.4,3,330,Not_Canceled
1,0,0,3,Meal Plan 2,N,Room_Type 1,13,Offline,N,0,0,73,0,117,Not_Canceled
2,0,0,1,Meal Plan 1,N,Room_Type 1,56,Offline,N,0,0,120,0,160,Not_Canceled
2,0,0,2,Meal Plan 1,N,Room_Type 1,5,Online,N,0,0,149,1,187,Not_Canceled
2,0,0,2,Meal Plan 2,N,Room_Type 1,256,Online,N,0,0,112,1,167,Canceled
2,0,2,1,Meal Plan 1,N,Room_Type 1,3,Offline,N,0,0,85,0,44,Not_Canceled
2,0,0,4,Not Selected,Y,Room_Type 1,8,Online,N,0,0,148,1,222,Not_Canceled
2,0,1,3,Meal Plan 1,N,Room_Type 1,41,Offline,N,0,0,112,1,308,Not_Canceled
2,0,2,4,Not Selected,N,Room_Type 1,16,Online,N,0,0,74.8,2,318,Canceled
1,0,0,1,Meal Plan 1,Y,Room_Type 1,7,Corporate,Y,0,5,67,1,322,Not_Canceled
2,0,1,3,Meal Plan 1,N,Room_Type 1,157,Offline,N,0,0,72.25,1,189,Not_Canceled
2,0,1,2,Not Selected,N,Room_Type 1,27,Online,N,0,0,115,1,262,Not_Canceled
2,0,1,3,Meal Plan 1,N,Room_Type 1,71,Online,N,0,0,119.85,1,151,Not_Canceled
2,0,0,2,Not Selected,N,Room_Type 1,16,Online,N,0,0,140,2,295,Not_Canceled
2,0,1,3,Not Selected,N,Room_Type 1,18,Offline,N,0,0,66.25,0,312,Not_Canceled
1,0,0,2,Meal Plan 1,N,Room_Type 5,5,Corporate,Y,0,12,106,0,125,Not_Canceled
2,0,1,2,Not Selected,N,Room_Type 1,17,Online,N,0,0,92.67,0,344,Not_Canceled
2,0,2,3,Meal Plan 1,N,Room_Type 1,159,Online,N,0,0,130.14,2,260,Canceled
1,0,1,1,Meal Plan 1,N,Room_Type 1,5,Online,N,0,0,95,1,109,Not_Canceled
2,0,2,4,Meal Plan 1,N,Room_Type 1,53,Online,N,0,0,80.2,0,58,Not_Canceled
2,0,1,2,Meal Plan 1,N,Room_Type 1,35,Online,N,0,0,129,1,302,Not_Canceled
2,1,1,3,Meal Plan 1,N,Room_Type 1,235,Online,N,0,0,106.25,0,301,Canceled
2,0,0,2,Meal Plan 1,N,Room_Type 4,6,Online,N,0,0,107,2,50,Not_Canceled
1,0,0,2,Meal Plan 1,N,Room_Type 1,14,Offline,N,0,0,100,0,289,Not_Canceled
1,0,0,2,Meal Plan 2,N,Room_Type 1,102,Offline,N,0,0,87,0,290,Not_Canceled
2,1,0,3,Meal Plan 1,N,Room_Type 1,38,Online,N,0,0,133.8,0,84,Canceled
2,0,1,1,Meal Plan 2,N,Room_Type 1,247,Online,N,0,0,115,1,158,Canceled
1,0,0,2,Meal Plan 1,N,Room_Type 1,192,Offline,N,0,0,95,0,176,Not_Canceled
3,0,0,2,Meal Plan 1,N,Room_Type 4,96,Online,N,0,0,110.97,0,300,Canceled
2,0,0,3,Meal Plan 1,N,Room_Type 1,44,Offline,N,0,0,75,0,48,Not_Canceled
2,0,0,2,Meal Plan 2,N,Room_Type 1,74,Offline,N,0,0,101.5,0,262,Not_Canceled
1,0,0,1,Meal Plan 1,N,Room_Type 1,125,Online,N,0,0,99.9,0,211,Not_Canceled
2,0,0,3,Meal Plan 1,N,Room_Type 1,22,Offline,N,0,0,85,0,279,Not_Canceled
2,0,0,3,Meal Plan 2,N,Room_Type 1,34,Online,N,0,0,224.67,0,267,Canceled
2,0,1,4,Meal Plan 1,N,Room_Type 1,275,Online,N,0,0,90,0,279,Canceled
2,1,3,6,Meal Plan 1,N,Room_Type 4,199,Online,N,0,0,94.51,2,205,Not_Canceled
1,0,0,2,Meal Plan 1,N,Room_Type 1,164,Offline,N,0,0,100,0,276,Not_Canceled
2,0,0,2,Meal Plan 1,N,Room_Type 1,286,Online,N,0,0,78.3,2,344,Not_Canceled
2,0,0,1,Not Selected,N,Room_Type 1,115,Online,N,0,0,108,0,287,Canceled
3,0,0,4,Meal Plan 1,N,Room_Type 6,31,Online,N,0,0,152.81,1,251,Canceled
1,0,0,3,Meal Plan 1,N,Room_Type 1,37,Offline,N,0,0,95,0,287,Not_Canceled
2,0,0,2,Not Selected,N,Room_Type 1,86,Online,N,0,0,107.1,1,225,Not_Canceled
2,0,2,4,Meal Plan 1,N,Room_Type 1,171,Online,N,0,0,99.45,1,224,Not_Canceled
1,0,0,2,Meal Plan 1,Y,Room_Type 1,6,Corporate,Y,2,23,68,1,61,Not_Canceled
1,0,1,1,Meal Plan 1,N,Room_Type 1,18,Online,N,0,0,86,1,51,Not_Canceled
2,0,2,5,Meal Plan 1,N,Room_Type 1,251,Online,N,0,0,79.29,0,366,Canceled
2,0,0,3,Meal Plan 1,N,Room_Type 1,37,Offline,N,0,0,105,0,287,Not_Canceled
2,0,0,1,Not Selected,N,Room_Type 1,0,Offline,N,0,0,103.2,0,139,Not_Canceled
2,0,1,0,Meal Plan 1,N,Room_Type 1,286,Online,N,0,0,90,0,290,Canceled
2,2,1,2,Meal Plan 1,N,Room_Type 6,58,Online,N,0,0,198,2,295,Not_Canceled
3,0,0,4,Meal Plan 1,N,Room_Type 4,87,Online,N,0,0,146.7,1,181,Not_Canceled
2,0,1,1,Meal Plan 1,N,Room_Type 4,6,Online,N,0,0,126,1,130,Not_Canceled
2,0,0,3,Meal Plan 1,N,Room_Type 1,433,Online,N,0,0,70,0,252,Canceled
1,0,0,1,Meal Plan 1,N,Room_Type 1,19,Corporate,N,0,0,95,1,301,Not_Canceled
2,0,2,4,Not Selected,N,Room_Type 1,133,Online,N,0,0,74.8,2,357,Canceled
1,0,0,2,Meal Plan 2,N,Room_Type 1,256,Offline,N,0,0,90,0,167,Not_Canceled
2,0,1,2,Meal Plan 2,N,Room_Type 1,309,Online,N,0,0,101,0,134,Canceled
2,0,0,2,Meal Plan 2,N,Room_Type 1,102,Online,N,0,0,101.5,0,290,Canceled
1,0,0,2,Meal Plan 1,N,Room_Type 1,32,Offline,N,0,0,73,0,325,Not_Canceled
1,0,2,4,Meal Plan 1,N,Room_Type 4,71,Online,N,0,0,132.6,0,128,Not_Canceled
2,0,0,3,Meal Plan 1,N,Room_Type 4,1,Online,N,0,0,155,2,281,Not_Canceled
2,0,0,1,Meal Plan 1,N,Room_Type 1,1,Online,N,0,0,121,0,163,Not_Canceled
2,0,1,1,Meal Plan 1,N,Room_Type 4,31,Online,N,0,0,107.1,0,172,Canceled
1,0,2,5,Meal Plan 1,N,Room_Type 1,231,Online,N,0,0,69.58,0,362,Canceled
1,0,2,1,Meal Plan 1,N,Room_Type 1,116,Offline,N,0,0,76,0,59,Not_Canceled
2,0,0,1,Meal Plan 1,N,Room_Type 1,289,Offline,N,0,0,67,0,291,Not_Canceled
2,0,1,4,Meal Plan 2,Y,Room_Type 1,49,Online,N,0,0,170.1,1,130,Not_Canceled
2,0,1,0,Meal Plan 1,N,Room_Type 1,3,Online,N,0,0,93,2,25,Not_Canceled
2,1,2,2,Meal Plan 1,N,Room_Type 1,33,Online,N,0,0,143.1,0,122,Canceled
1,0,0,2,Meal Plan 1,N,Room_Type 1,188,Online,N,0,0,130,0,167,Canceled
2,0,0,3,Meal Plan 1,N,Room_Type 1,132,Offline,N,0,0,72.25,0,196,Not_Canceled
1,0,0,0,Meal Plan 1,N,Room_Type 1,42,Online,N,0,0,0,0,312,Not_Canceled
2,0,0,2,Not Selected,N,Room_Type 1,3,Online,N,0,0,139,0,190,Canceled
3,0,1,1,Meal Plan 1,N,Room_Type 4,49,Online,N,0,0,159.3,2,128,Not_Canceled
2,1,0,4,Meal Plan 1,N,Room_Type 1,16,Online,N,0,0,109,2,48,Not_Canceled
2,0,4,6,Meal Plan 1,N,Room_Type 4,175,Online,N,0,0,99.45,1,192,Not_Canceled
2,0,2,1,Meal Plan 2,N,Room_Type 1,124,Offline,N,0,0,94.5,0,221,Not_Canceled
2,0,1,4,Meal Plan 1,N,Room_Type 1,181,Online,N,0,0,76.5,0,183,Canceled
2,0,1,2,Not Selected,N,Room_Type 1,62,Online,N,0,0,69.5,1,64,Not_Canceled
3,0,1,2,Meal Plan 1,N,Room_Type 4,250,Online,N,0,0,128.7,1,298,Canceled
3,0,0,3,Meal Plan 1,N,Room_Type 4,63,Online,N,0,0,159.3,0,160,Canceled
2,0,1,4,Meal Plan 1,N,Room_Type 1,275,Online,N,0,0,90,0,279,Canceled
2,1,1,0,Meal Plan 1,N,Room_Type 1,0,Online,N,0,0,127,0,178,Not_Canceled
2,0,0,1,Not Selected,N,Room_Type 1,7,Online,N,0,0,99,1,202,Not_Canceled
3,0,2,5,Meal Plan 1,N,Room_Type 4,72,Online,N,0,0,126.64,0,305,Canceled
2,0,0,3,Meal Plan 1,N,Room_Type 1,130,Online,N,0,0,105.3,1,126,Canceled
2,0,1,3,Meal Plan 1,N,Room_Type 1,185,Online,N,0,0,113.4,2,284,Canceled
2,0,0,3,Meal Plan 1,N,Room_Type 1,5,Online,N,0,0,91,0,47,Not_Canceled
2,0,2,2,Meal Plan 1,N,Room_Type 1,147,Online,N,0,0,129.6,2,269,Not_Canceled
1,0,1,0,Not Selected,N,Room_Type 1,180,Online,N,0,0,98.1,1,284,Canceled
2,2,0,3,Meal Plan 1,N,Room_Type 1,86,Online,N,0,0,122,0,343,Canceled
2,2,1,2,Meal Plan 1,N,Room_Type 7,4,Online,N,0,0,306,3,190,Not_Canceled
2,0,1,2,Meal Plan 1,N,Room_Type 4,3,Online,N,0,0,132.6,2,137,Not_Canceled
2,2,0,1,Meal Plan 1,N,Room_Type 6,33,Online,N,0,0,207.9,1,211,Not_Canceled
2,0,0,1,Not Selected,N,Room_Type 1,0,Online,N,0,0,69.01,0,161,Not_Canceled
2,0,2,3,Meal Plan 1,N,Room_Type 1,131,Online,N,0,0,115.94,0,171,Canceled
2,0,2,3,Meal Plan 1,N,Room_Type 1,6,Offline,N,0,0,70,0,52,Not_Canceled
2,0,1,2,Meal Plan 1,N,Room_Type 1,48,Offline,N,0,0,85.5,1,295,Not_Canceled
2,0,1,2,Meal Plan 1,N,Room_Type 2,1,Complementary,N,0,0,0,0,227,Not_Canceled
2,0,0,1,Meal Plan 1,N,Room_Type 1,2,Online,N,0,0,101,1,98,Not_Canceled
2,0,0,3,Meal Plan 1,N,Room_Type 1,259,Online,N,0,0,90,0,126,Canceled
2,0,2,1,Meal Plan 1,N,Room_Type 1,14,Online,N,0,0,93.67,1,361,Not_Canceled
1,0,2,0,Meal Plan 2,N,Room_Type 1,386,Online,N,0,0,90,1,297,Canceled
1,0,0,2,Meal Plan 1,N,Room_Type 1,164,Offline,N,0,0,100,0,276,Not_Canceled
1,0,0,2,Meal Plan 1,N,Room_Type 1,192,Offline,N,0,0,95,0,176,Not_Canceled
3,0,0,3,Meal Plan 1,N,Room_Type 4,155,Online,N,0,0,142.83,0,294,Canceled
3,0,0,3,Meal Plan 1,N,Room_Type 1,220,Online,N,0,0,105.84,1,154,Canceled
1,0,0,3,Meal Plan 1,N,Room_Type 1,151,Offline,N,0,0,71,1,19,Not_Canceled
2,0,1,3,Meal Plan 1,N,Room_Type 1,125,Offline,N,0,0,89.75,0,242,Not_Canceled
3,0,2,8,Meal Plan 1,N,Room_Type 4,39,Online,N,0,0,130.9,2,343,Not_Canceled
2,0,4,6,Meal Plan 2,N,Room_Type 1,163,Offline,N,0,0,72.25,1,234,Not_Canceled
2,0,2,5,Not Selected,N,Room_Type 1,6,Online,N,0,0,138.57,2,264,Not_Canceled
2,0,2,2,Not Selected,N,Room_Type 1,19,Online,N,0,0,57.59,1,331,Not_Canceled
2,0,2,1,Meal Plan 2,N,Room_Type 1,131,Online,N,0,0,94.5,0,228,Canceled
2,0,1,1,Meal Plan 1,N,Room_Type 4,29,Online,N,0,0,154.5,1,289,Canceled
2,0,0,1,Not Selected,N,Room_Type 1,81,Online,N,0,0,125.1,2,229,Not_Canceled
2,0,1,2,Meal Plan 2,N,Room_Type 1,162,Offline,N,0,0,85.17,2,248,Not_Canceled
2,0,0,3,Meal Plan 1,N,Room_Type 1,158,Online,N,0,0,114.3,0,189,Canceled
2,0,1,1,Meal Plan 1,N,Room_Type 1,109,Offline,N,0,0,72.25,0,242,Not_Canceled
1,0,2,3,Meal Plan 1,N,Room_Type 1,115,Offline,N,0,0,76,0,58,Not_Canceled
2,0,0,2,Not Selected,N,Room_Type 1,0,Online,N,0,0,89,1,106,Not_Canceled
2,0,0,3,Meal Plan 1,N,Room_Type 1,112,Online,N,0,0,90,1,329,Not_Canceled
2,1,0,1,Meal Plan 1,N,Room_Type 1,11,Online,N,0,0,150,1,310,Canceled
1,0,0,2,Meal Plan 1,N,Room_Type 1,1,Offline,N,0,0,107,0,110,Not_Canceled
1,0,0,2,Meal Plan 2,N,Room_Type 1,74,Offline,N,0,0,87,0,262,Not_Canceled
1,0,2,1,Meal Plan 1,N,Room_Type 1,12,Corporate,N,0,0,66,1,24,Not_Canceled
2,0,2,2,Meal Plan 1,N,Room_Type 1,80,Offline,N,0,0,72.25,0,206,Not_Canceled
2,0,1,3,Not Selected,N,Room_Type 1,122,Online,N,0,0,75.9,2,319,Canceled
2,0,1,2,Meal Plan 1,N,Room_Type 1,133,Offline,N,0,0,84.33,1,71,Not_Canceled
3,0,2,1,Meal Plan 1,N,Room_Type 1,84,Online,N,0,0,103.72,2,178,Not_Canceled
1,0,0,3,Meal Plan 1,N,Room_Type 1,15,Offline,N,0,0,85.33,0,49,Not_Canceled
2,0,1,2,Meal Plan 1,N,Room_Type 1,5,Offline,N,0,0,90,0,293,Not_Canceled
2,0,0,4,Meal Plan 1,N,Room_Type 1,79,Online,N,0,0,85.5,1,197,Canceled
2,0,0,2,Meal Plan 1,N,Room_Type 1,122,Offline,N,0,0,85,0,106,Not_Canceled
2,2,2,0,Meal Plan 1,N,Room_Type 6,118,Online,N,0,0,186.3,1,206,Not_Canceled
3,0,0,1,Meal Plan 1,N,Room_Type 4,43,Online,N,0,0,114.3,2,71,Not_Canceled
2,0,0,3,Meal Plan 1,N,Room_Type 1,103,Offline,N,0,0,80,0,125,Not_Canceled
2,0,0,3,Meal Plan 1,N,Room_Type 2,222,Online,N,0,0,116.1,0,258,Canceled
2,0,2,1,Meal Plan 1,Y,Room_Type 1,9,Online,N,0,0,125.27,1,227,Not_Canceled
2,0,1,2,Not Selected,N,Room_Type 1,121,Online,N,0,0,116.1,0,169,Not_Canceled
3,0,1,3,Meal Plan 1,N,Room_Type 1,35,Online,N,0,0,118.8,0,249,Not_Canceled
2,0,0,2,Meal Plan 1,N,Room_Type 4,0,Online,N,0,0,182.33,1,148,Canceled
2,0,0,2,Meal Plan 1,N,Room_Type 1,18,Online,N,0,0,104,0,330,Canceled
2,0,2,1,Meal Plan 2,N,Room_Type 1,220,Online,N,0,0,156,1,261,Canceled
1,0,1,3,Not Selected,N,Room_Type 1,6,Online,N,0,0,49.59,0,333,Not_Canceled
2,1,0,4,Meal Plan 1,N,Room_Type 1,62,Online,N,0,0,88.4,3,321,Not_Canceled
2,0,0,4,Meal Plan 1,N,Room_Type 1,131,Online,N,0,0,105.3,0,215,Canceled
3,0,1,3,Meal Plan 1,N,Room_Type 4,69,Online,N,0,0,168.3,2,252,Not_Canceled
2,0,0,2,Meal Plan 1,N,Room_Type 1,308,Online,N,0,0,52,0,330,Canceled
2,0,1,1,Meal Plan 1,N,Room_Type 1,168,Online,N,0,0,105.3,0,233,Canceled
1,0,0,2,Meal Plan 1,N,Room_Type 1,188,Online,N,0,0,130,0,167,Canceled
2,0,1,0,Meal Plan 1,N,Room_Type 1,39,Online,N,0,0,74.88,1,353,Not_Canceled
2,0,0,3,Meal Plan 1,N,Room_Type 1,37,Offline,N,0,0,105,0,287,Not_Canceled
2,0,2,2,Meal Plan 1,N,Room_Type 1,11,Offline,N,0,0,88.5,0,297,Not_Canceled
2,0,2,2,Meal Plan 1,N,Room_Type 1,2,Offline,N,0,0,72.75,0,108,Not_Canceled
2,0,0,1,Meal Plan 1,N,Room_Type 1,73,Online,N,0,0,126.9,0,128,Canceled
1,0,1,0,Not Selected,N,Room_Type 1,32,Online,N,0,0,99,2,269,Not_Canceled
1,0,0,1,Meal Plan 1,N,Room_Type 1,12,Online,N,0,0,75.2,0,349,Not_Canceled
2,1,0,2,Meal Plan 1,N,Room_Type 1,150,Online,N,0,0,135,1,230,Not_Canceled
2,0,2,2,Not Selected,N,Room_Type 1,31,Online,N,0,0,50.6,0,37,Not_Canceled
2,0,1,2,Meal Plan 1,N,Room_Type 2,8,Online,N,0,0,103,1,71,Not_Canceled
2,0,1,4,Meal Plan 1,N,Room_Type 1,135,Online,N,0,0,90,0,307,Canceled
2,0,1,5,Not Selected,N,Room_Type 1,277,Online,N,0,0,82.17,2,292,Not_Canceled
2,0,2,4,Meal Plan 1,N,Room_Type 1,90,Online,N,0,0,89.25,0,299,Not_Canceled
1,0,1,1,Meal Plan 1,Y,Room_Type 1,32,Corporate,Y,1,11,67,0,186,Not_Canceled
2,0,2,2,Meal Plan 1,N,Room_Type 4,53,Offline,N,0,0,60,0,319,Not_Canceled
2,0,0,2,Meal Plan 1,N,Room_Type 1,70,Offline,N,0,0,100,0,155,Not_Canceled
2,1,0,1,Meal Plan 1,N,Room_Type 1,12,Online,N,0,0,109,0,37,Canceled
2,0,2,5,Meal Plan 1,N,Room_Type 1,202,Offline,N,0,0,80.24,0,172,Not_Canceled
2,0,1,2,Not Selected,N,Room_Type 1,98,Online,N,0,0,116.1,3,162,Not_Canceled
2,0,0,3,Meal Plan 1,N,Room_Type 4,16,Online,N,0,0,123.33,1,275,Not_Canceled
1,0,0,1,Meal Plan 1,N,Room_Type 1,0,Corporate,Y,0,1,50,0,42,Not_Canceled
2,0,0,1,Meal Plan 1,N,Room_Type 4,37,Online,N,0,0,140.4,0,148,Canceled
2,0,0,1,Meal Plan 1,N,Room_Type 1,10,Offline,N,0,0,71.1,0,50,Not_Canceled
2,0,1,3,Meal Plan 1,N,Room_Type 1,180,Online,N,0,0,113.4,0,284,Canceled
2,0,2,1,Meal Plan 1,Y,Room_Type 4,38,Online,N,0,0,104.4,0,79,Not_Canceled
2,0,0,2,Meal Plan 1,Y,Room_Type 1,15,Online,N,0,0,105,1,253,Not_Canceled
2,0,2,2,Meal Plan 1,N,Room_Type 1,7,Online,N,0,0,143,1,239,Not_Canceled
2,0,0,4,Meal Plan 1,N,Room_Type 1,90,Online,N,0,0,90.95,1,104,Not_Canceled
2,0,0,2,Meal Plan 1,N,Room_Type 1,48,Offline,N,0,0,130,0,258,Not_Canceled
1,0,1,2,Meal Plan 1,N,Room_Type 1,6,Online,N,0,0,106.25,1,144,Not_Canceled
2,0,1,2,Meal Plan 1,N,Room_Type 1,17,Offline,N,0,0,85,0,277,Not_Canceled
2,0,1,1,Meal Plan 1,N,Room_Type 4,60,Online,N,0,0,123.3,1,247,Canceled
1,0,0,1,Meal Plan 1,N,Room_Type 1,23,Corporate,N,0,0,65,0,310,Not_Canceled
2,0,1,0,Not Selected,N,Room_Type 1,0,Online,N,0,0,90,1,214,Not_Canceled
2,0,1,0,Not Selected,N,Room_Type 1,145,Online,N,0,0,85.5,1,179,Not_Canceled
2,0,0,3,Meal Plan 1,N,Room_Type 1,54,Offline,N,0,0,75,0,89,Not_Canceled
2,0,0,1,Meal Plan 1,N,Room_Type 1,13,Online,N,0,0,151,1,219,Not_Canceled
2,0,1,2,Meal Plan 1,N,Room_Type 1,193,Online,N,0,0,120,0,172,Canceled
2,0,2,1,Meal Plan 1,N,Room_Type 1,221,Offline,N,0,0,65,0,291,Not_Canceled
2,0,2,1,Meal Plan 1,N,Room_Type 1,179,Online,N,0,0,108.9,2,275,Canceled
2,0,1,2,Meal Plan 1,N,Room_Type 1,5,Offline,N,0,0,90,0,293,Not_Canceled
2,1,1,3,Not Selected,N,Room_Type 1,190,Online,N,0,0,67.09,0,238,Canceled
1,0,2,1,Not Selected,N,Room_Type 1,8,Online,N,0,0,87.53,1,247,Not_Canceled
2,0,1,3,Meal Plan 1,N,Room_Type 1,65,Online,N,0,0,119.85,1,130,Not_Canceled
2,0,1,1,Meal Plan 1,N,Room_Type 1,10,Online,N,0,0,80.75,0,340,Not_Canceled
2,0,0,2,Meal Plan 1,N,Room_Type 1,211,Online,N,0,0,100,0,141,Canceled
2,0,0,1,Not Selected,N,Room_Type 1,4,Online,N,0,0,69.5,0,14,Not_Canceled
2,0,2,2,Meal Plan 1,N,Room_Type 4,148,Online,N,0,0,127.8,0,234,Not_Canceled
2,0,0,4,Meal Plan 1,N,Room_Type 1,104,Online,N,0,0,87.67,2,159,Not_Canceled
1,0,1,2,Meal Plan 1,N,Room_Type 1,114,Online,N,0,0,75,0,183,Canceled
1,0,0,2,Meal Plan 1,N,Room_Type 4,12,Online,N,0,0,151,2,181,Not_Canceled
2,0,0,3,Meal Plan 1,N,Room_Type 1,30,Online,N,0,0,96.3,5,288,Not_Canceled
2,0,0,1,Meal Plan 1,N,Room_Type 1,2,Corporate,Y,0,3,75,0,6,Not_Canceled
1,0,0,2,Meal Plan 2,N,Room_Type 1,273,Offline,N,0,0,87,0,199,Not_Canceled
2,0,2,3,Meal Plan 1,N,Room_Type 4,47,Online,N,0,0,97.82,1,290,Not_Canceled
1,0,0,1,Meal Plan 1,N,Room_Type 1,2,Offline,N,0,0,55,0,62,Not_Canceled
2,0,2,0,Not Selected,N,Room_Type 1,172,Online,N,0,0,85.5,0,178,Canceled
2,0,2,1,Meal Plan 1,N,Room_Type 1,20,Online,N,0,0,107,0,278,Not_Canceled
1,0,2,1,Meal Plan 1,N,Room_Type 1,33,Online,N,0,0,77.5,2,65,Not_Canceled
2,0,2,5,Meal Plan 1,N,Room_Type 1,299,Online,N,0,0,100.3,0,261,Canceled
2,0,0,3,Meal Plan 1,N,Room_Type 1,11,Online,N,0,0,151,0,222,Canceled
1,0,2,1,Meal Plan 1,N,Room_Type 1,30,Corporate,N,0,0,65,0,250,Not_Canceled
2,0,1,2,Not Selected,N,Room_Type 1,2,Online,N,0,0,169.33,0,228,Not_Canceled
2,0,1,2,Not Selected,N,Room_Type 1,47,Online,N,0,0,72.5,0,57,Not_Canceled
2,0,0,3,Meal Plan 1,N,Room_Type 1,104,Offline,N,0,0,75,0,338,Not_Canceled
1,0,0,3,Meal Plan 1,N,Room_Type 1,71,Offline,N,0,0,120,0,166,Not_Canceled
2,0,2,3,Meal Plan 2,N,Room_Type 1,12,Offline,N,0,0,129.8,0,278,Not_Canceled
2,0,2,3,Meal Plan 1,N,Room_Type 1,73,Online,N,0,0,119.85,1,133,Not_Canceled
2,0,2,2,Meal Plan 1,N,Room_Type 4,50,Online,N,0,0,82.45,0,71,Canceled
2,0,0,3,Not Selected,N,Room_Type 1,20,Online,N,0,0,110,1,299,Not_Canceled
2,0,0,3,Meal Plan 1,N,Room_Type 1,47,Offline,N,0,0,75,0,89,Not_Canceled
2,2,2,2,Meal Plan 1,N,Room_Type 6,12,Online,N,0,0,202.88,1,303,Canceled
2,0,1,2,Meal Plan 1,N,Room_Type 1,87,Online,N,0,0,69.53,2,305,Not_Canceled
1,0,2,4,Meal Plan 1,N,Room_Type 1,245,Online,N,0,0,110,0,188,Canceled
2,0,0,2,Meal Plan 1,N,Room_Type 1,0,Online,N,0,0,85,0,226,Not_Canceled
2,0,1,1,Not Selected,N,Room_Type 1,15,Online,N,0,0,76.5,0,23,Not_Canceled
1,0,0,1,Meal Plan 1,N,Room_Type 1,2,Corporate,N,0,0,169,0,265,Canceled
2,0,2,4,Meal Plan 1,N,Room_Type 1,11,Online,N,0,0,65.29,1,318,Not_Canceled
1,0,0,3,Meal Plan 1,N,Room_Type 1,166,Online,N,0,0,110,0,306,Canceled
2,0,0,4,Meal Plan 1,N,Room_Type 4,92,Online,N,0,0,89.25,1,197,Canceled
2,0,0,3,Not Selected,N,Room_Type 1,57,Online,N,0,0,79.2,1,306,Not_Canceled
2,0,2,2,Not Selected,N,Room_Type 1,95,Online,N,0,0,109.65,0,142,Canceled
2,0,1,0,Meal Plan 1,N,Room_Type 1,0,Complementary,N,0,0,0,0,342,Not_Canceled
2,0,1,3,Meal Plan 1,N,Room_Type 1,85,Offline,N,0,0,85,1,280,Not_Canceled
2,0,2,3,Meal Plan 1,N,Room_Type 1,89,Online,N,0,0,90.95,1,101,Not_Canceled
2,0,2,1,Meal Plan 2,N,Room_Type 1,138,Offline,N,0,0,94.5,0,235,Not_Canceled
2,0,2,1,Meal Plan 1,N,Room_Type 1,4,Online,N,0,0,91,0,44,Not_Canceled
3,0,1,0,Meal Plan 1,N,Room_Type 4,49,Online,N,0,0,168.3,2,199,Not_Canceled
2,0,2,0,Meal Plan 1,N,Room_Type 1,25,Online,N,0,0,88,0,255,Not_Canceled
2,0,1,2,Meal Plan 1,N,Room_Type 1,84,Online,N,0,0,89.25,2,290,Not_Canceled
2,0,2,2,Meal Plan 1,N,Room_Type 4,3,Online,N,0,0,93.63,2,358,Not_Canceled
2,0,2,2,Meal Plan 1,N,Room_Type 1,114,Online,N,0,0,114.3,0,219,Not_Canceled
2,0,0,1,Meal Plan 1,N,Room_Type 1,52,Online,N,0,0,126.9,2,142,Not_Canceled
2,0,2,0,Not Selected,N,Room_Type 1,29,Online,N,0,0,122.55,0,262,Canceled
1,0,2,4,Meal Plan 1,N,Room_Type 4,45,Online,N,0,0,113.62,0,101,Canceled
3,0,1,3,Meal Plan 1,N,Room_Type 1,28,Offline,N,0,0,122,1,4,Not_Canceled
2,0,1,1,Not Selected,N,Room_Type 1,37,Online,N,0,0,88,0,345,Canceled
2,0,3,7,Not Selected,N,Room_Type 1,217,Online,N,0,0,46.63,2,340,Not_Canceled
2,0,0,3,Meal Plan 1,N,Room_Type 1,70,Online,N,0,0,126.9,0,161,Not_Canceled
