workclass,education,marital_status,occupation,relationship,race,sex,native_country,income
Self-emp-not-inc,Some-college,Divorced,Other-service,Unmarried,Amer-Indian-Eskimo,Male,Italy,<=50K
Self-emp-inc,9th,Never-married,Other-service,Unmarried,Black,Female,Poland,>50K
State-gov,Assoc-acdm,Divorced,Armed-Forces,Not-in-family,White,Male,Italy,>50K
Local-gov,5th-6th,Married-spouse-absent,Craft-repair,Not-in-family,Amer-Indian-Eskimo,Female,Trinadad&Tobago,<=50K
Federal-gov,HS-grad,Married-spouse-absent,Adm-clerical,Not-in-family,Black,Female,Puerto-Rico,<=50K
Private,1st-4th,Married-AF-spouse,Protective-serv,Not-in-family,Other,Male,El-Salvador,<=50K
Private,HS-grad,Married-civ-spouse,Prof-specialty,Husband,Amer-Indian-Eskimo,Male,United-States,<=50K
Self-emp-not-inc,1st-4th,Married-spouse-absent,Priv-house-serv,Wife,Black,Male,Cuba,>50K
Private,Bachelors,Divorced,Handlers-cleaners,Not-in-family,White,Male,United-States,<=50K
Self-emp-not-inc,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,<=50K
Federal-gov,9th,Married-civ-spouse,Sales,Own-child,Black,Female,Greece,>50K
Self-emp-not-inc,Masters,Never-married,Craft-repair,Unmarried,Other,Female,Haiti,<=50K
Private,5th-6th,Never-married,Handlers-cleaners,Other-relative,White,Male,Mexico,<=50K
Local-gov,7th-8th,Married-AF-spouse,Adm-clerical,Not-in-family,Black,Female,Germany,>50K
Self-emp-inc,11th,Married-civ-spouse,Handlers-cleaners,Unmarried,Other,Male,Canada,<=50K
State-gov,1st-4th,Separated,Farming-fishing,Husband,White,Female,Laos,>50K
Self-emp-not-inc,7th-8th,Separated,Handlers-cleaners,Husband,White,Female,Taiwan,>50K
Self-emp-not-inc,1st-4th,Divorced,Craft-repair,Not-in-family,Black,Female,Poland,>50K
Private,HS-grad,Never-married,Exec-managerial,Unmarried,White,Female,United-States,<=50K
Self-emp-inc,Masters,Widowed,Craft-repair,Not-in-family,Other,Male,England,<=50K
Private,12th,Married-civ-spouse,Tech-support,Wife,Other,Male,France,>50K
State-gov,Masters,Never-married,Transport-moving,Own-child,Black,Male,Nicaragua,<=50K
Private,5th-6th,Married-spouse-absent,Handlers-cleaners,Unmarried,Asian-Pac-Islander,Female,Thailand,>50K
Local-gov,9th,Married-AF-spouse,Handlers-cleaners,Husband,White,Male,Cambodia,>50K
Self-emp-not-inc,Masters,Widowed,Adm-clerical,Husband,Amer-Indian-Eskimo,Male,Jamaica,>50K
Without-pay,Masters,Separated,Prof-specialty,Unmarried,Asian-Pac-Islander,Female,Cuba,<=50K
Self-emp-inc,Masters,Married-civ-spouse,Prof-specialty,Unmarried,Black,Male,India,>50K
Private,Bachelors,Separated,Adm-clerical,Not-in-family,Black,Female,Philippines,<=50K
Private,Assoc-acdm,Married-spouse-absent,Armed-Forces,Wife,Black,Female,Haiti,<=50K
Without-pay,5th-6th,Married-spouse-absent,Armed-Forces,Own-child,Amer-Indian-Eskimo,Female,Yugoslavia,>50K
Private,Doctorate,Separated,Other-service,Husband,Amer-Indian-Eskimo,Female,Ireland,<=50K
Local-gov,Doctorate,Widowed,Armed-Forces,Husband,Other,Male,Hong,<=50K
Federal-gov,Assoc-voc,Never-married,Handlers-cleaners,Wife,Amer-Indian-Eskimo,Female,Hong,>50K
Self-emp-not-inc,Some-college,Married-spouse-absent,Adm-clerical,Own-child,White,Male,Hungary,>50K
Without-pay,1st-4th,Divorced,Priv-house-serv,Wife,Other,Female,Mexico,>50K
Federal-gov,7th-8th,Divorced,Armed-Forces,Unmarried,Asian-Pac-Islander,Male,France,>50K
Self-emp-not-inc,Some-college,Married-spouse-absent,Handlers-cleaners,Other-relative,Asian-Pac-Islander,Female,Thailand,<=50K
Federal-gov,Some-college,Divorced,Adm-clerical,Unmarried,Black,Male,United-States,<=50K
Private,Bachelors,Never-married,Tech-support,Not-in-family,White,Male,United-States,<=50K
Federal-gov,9th,Divorced,Craft-repair,Other-relative,White,Male,Greece,>50K
Private,Assoc-voc,Widowed,Transport-moving,Not-in-family,Amer-Indian-Eskimo,Female,Columbia,>50K
Self-emp-inc,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,<=50K
Self-emp-inc,HS-grad,Married-civ-spouse,Farming-fishing,Other-relative,Asian-Pac-Islander,Female,Japan,<=50K
Private,Assoc-voc,Married-civ-spouse,Adm-clerical,Husband,White,Male,United-States,<=50K
Self-emp-not-inc,Doctorate,Married-spouse-absent,Exec-managerial,Wife,Other,Male,Scotland,<=50K
Local-gov,5th-6th,Never-married,Priv-house-serv,Other-relative,White,Male,Canada,<=50K
Self-emp-inc,12th,Married-civ-spouse,Craft-repair,Unmarried,White,Female,Jamaica,>50K
Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,United-States,<=50K
Self-emp-not-inc,7th-8th,Never-married,Machine-op-inspct,Husband,Other,Female,Ireland,<=50K
Self-emp-inc,5th-6th,Married-spouse-absent,Priv-house-serv,Other-relative,Amer-Indian-Eskimo,Female,South,>50K
State-gov,Bachelors,Never-married,Adm-clerical,Husband,Asian-Pac-Islander,Male,Laos,<=50K
Federal-gov,Prof-school,Married-civ-spouse,Protective-serv,Own-child,Black,Female,Jamaica,>50K
Private,1st-4th,Married-civ-spouse,Craft-repair,Other-relative,Amer-Indian-Eskimo,Female,Portugal,<=50K
Private,Some-college,Never-married,Adm-clerical,Own-child,Black,Female,United-States,<=50K
Self-emp-inc,Doctorate,Married-AF-spouse,Armed-Forces,Own-child,Other,Female,Guatemala,<=50K
Self-emp-inc,11th,Widowed,Other-service,Unmarried,Black,Male,Laos,<=50K
Self-emp-inc,Preschool,Widowed,Farming-fishing,Unmarried,Amer-Indian-Eskimo,Female,Hong,<=50K
Local-gov,Some-college,Divorced,Handlers-cleaners,Other-relative,White,Female,Thailand,>50K
State-gov,10th,Married-civ-spouse,Exec-managerial,Wife,Other,Female,Thailand,>50K
State-gov,Preschool,Married-AF-spouse,Armed-Forces,Husband,Asian-Pac-Islander,Male,Ireland,<=50K
Private,HS-grad,Never-married,Handlers-cleaners,Own-child,Amer-Indian-Eskimo,Male,United-States,<=50K
Self-emp-not-inc,Assoc-voc,Married-spouse-absent,Craft-repair,Own-child,Asian-Pac-Islander,Male,Thailand,>50K
Local-gov,Prof-school,Married-spouse-absent,Priv-house-serv,Not-in-family,Other,Male,Ireland,>50K
Private,Assoc-acdm,Separated,Farming-fishing,Wife,White,Male,Puerto-Rico,>50K
Self-emp-inc,Prof-school,Divorced,Craft-repair,Other-relative,Amer-Indian-Eskimo,Female,Laos,>50K
Self-emp-not-inc,Some-college,Married-AF-spouse,Farming-fishing,Husband,Black,Male,Greece,<=50K
Self-emp-inc,10th,Separated,Armed-Forces,Own-child,Asian-Pac-Islander,Male,Germany,>50K
Private,Bachelors,Married-civ-spouse,Protective-serv,Husband,White,Male,United-States,>50K
Self-emp-not-inc,HS-grad,Divorced,Exec-managerial,Not-in-family,White,Male,United-States,<=50K
Federal-gov,HS-grad,Married-AF-spouse,Farming-fishing,Own-child,Black,Female,South,>50K
Self-emp-inc,Preschool,Divorced,Craft-repair,Unmarried,Black,Male,Columbia,<=50K
Private,1st-4th,Divorced,Priv-house-serv,Unmarried,Other,Female,Iran,<=50K
State-gov,Bachelors,Never-married,Adm-clerical,Not-in-family,White,Male,United-States,<=50K
State-gov,Assoc-voc,Separated,Prof-specialty,Own-child,Amer-Indian-Eskimo,Male,Outlying-US(Guam-USVI-etc),<=50K
Local-gov,Assoc-voc,Married-civ-spouse,Protective-serv,Husband,White,Male,United-States,<=50K
Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,United-States,>50K
Self-emp-not-inc,Bachelors,Separated,Priv-house-serv,Unmarried,Amer-Indian-Eskimo,Female,Honduras,>50K
Federal-gov,Bachelors,Married-AF-spouse,Protective-serv,Not-in-family,Asian-Pac-Islander,Male,Scotland,<=50K
Federal-gov,Doctorate,Separated,Tech-support,Other-relative,Black,Male,Hungary,>50K
State-gov,Prof-school,Never-married,Adm-clerical,Other-relative,Amer-Indian-Eskimo,Male,South,<=50K
State-gov,9th,Widowed,Adm-clerical,Wife,White,Male,Outlying-US(Guam-USVI-etc),>50K
Self-emp-inc,Bachelors,Divorced,Priv-house-serv,Unmarried,Amer-Indian-Eskimo,Female,India,>50K
Local-gov,Bachelors,Married-civ-spouse,Protective-serv,Husband,White,Male,United-States,>50K
Private,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,United-States,<=50K
Federal-gov,Some-college,Married-spouse-absent,Other-service,Husband,White,Female,Thailand,>50K
Federal-gov,5th-6th,Widowed,Tech-support,Unmarried,Asian-Pac-Islander,Male,Laos,<=50K
Federal-gov,Bachelors,Married-spouse-absent,Craft-repair,Husband,Black,Female,Mexico,>50K
Self-emp-inc,Preschool,Widowed,Other-service,Husband,Other,Male,Outlying-US(Guam-USVI-etc),<=50K
Self-emp-not-inc,7th-8th,Never-married,Protective-serv,Own-child,Amer-Indian-Eskimo,Male,South,>50K
Self-emp-inc,Preschool,Never-married,Prof-specialty,Unmarried,Black,Female,Poland,>50K
Self-emp-not-inc,HS-grad,Married-civ-spouse,Priv-house-serv,Wife,Asian-Pac-Islander,Male,Peru,>50K
Self-emp-inc,10th,Married-AF-spouse,Prof-specialty,Other-relative,Asian-Pac-Islander,Female,Holland-Netherlands,<=50K
Self-emp-not-inc,Prof-school,Separated,Tech-support,Not-in-family,Black,Female,Japan,<=50K
Self-emp-not-inc,5th-6th,Married-spouse-absent,Handlers-cleaners,Own-child,White,Male,Canada,>50K
Federal-gov,10th,Divorced,Craft-repair,Own-child,Asian-Pac-Islander,Female,Thailand,>50K
State-gov,9th,Married-spouse-absent,Handlers-cleaners,Unmarried,Black,Female,Poland,<=50K
Local-gov,7th-8th,Separated,Protective-serv,Own-child,White,Female,Nicaragua,>50K
Local-gov,Bachelors,Married-civ-spouse,Protective-serv,Wife,White,Female,Nicaragua,>50K
Private,Some-college,Divorced,Tech-support,Not-in-family,White,Female,United-States,<=50K
Local-gov,1st-4th,Never-married,Other-service,Not-in-family,Black,Female,India,<=50K
Private,7th-8th,Never-married,Protective-serv,Husband,White,Male,El-Salvador,>50K
Federal-gov,Some-college,Married-spouse-absent,Craft-repair,Other-relative,Amer-Indian-Eskimo,Male,Trinadad&Tobago,>50K
Self-emp-inc,10th,Widowed,Protective-serv,Husband,Asian-Pac-Islander,Male,Japan,<=50K
Self-emp-inc,Doctorate,Married-AF-spouse,Craft-repair,Other-relative,Other,Male,Columbia,>50K
Self-emp-inc,9th,Married-AF-spouse,Sales,Husband,Other,Female,Cuba,>50K
Federal-gov,Assoc-voc,Married-spouse-absent,Adm-clerical,Not-in-family,Other,Female,China,<=50K
Private,Some-college,Married-civ-spouse,Other-service,Wife,Other,Male,Mexico,>50K
State-gov,Masters,Never-married,Prof-specialty,Unmarried,White,Male,United-States,<=50K
Self-emp-inc,1st-4th,Never-married,Priv-house-serv,Husband,White,Female,Jamaica,>50K
Self-emp-not-inc,Masters,Widowed,Transport-moving,Not-in-family,Black,Male,Japan,>50K
Private,11th,Never-married,Exec-managerial,Own-child,Other,Female,Jamaica,>50K
Without-pay,Preschool,Married-spouse-absent,Protective-serv,Other-relative,Black,Female,Holland-Netherlands,>50K
Self-emp-not-inc,1st-4th,Divorced,Priv-house-serv,Wife,Amer-Indian-Eskimo,Male,Italy,<=50K
Private,Doctorate,Divorced,Sales,Not-in-family,Asian-Pac-Islander,Male,Mexico,>50K
Private,Assoc-voc,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,United-States,<=50K
Private,Masters,Married-AF-spouse,Tech-support,Other-relative,White,Male,Poland,>50K
Federal-gov,Bachelors,Married-spouse-absent,Handlers-cleaners,Husband,Black,Male,France,>50K
Local-gov,12th,Married-civ-spouse,Other-service,Husband,White,Male,United-States,>50K
State-gov,5th-6th,Married-AF-spouse,Priv-house-serv,Not-in-family,Black,Female,Ireland,<=50K
State-gov,Assoc-acdm,Separated,Adm-clerical,Other-relative,White,Male,Guatemala,<=50K
State-gov,Assoc-acdm,Never-married,Adm-clerical,Not-in-family,White,Female,United-States,<=50K
Private,Masters,Divorced,Priv-house-serv,Other-relative,Amer-Indian-Eskimo,Female,Canada,<=50K
Private,Masters,Widowed,Prof-specialty,Not-in-family,Other,Female,Trinadad&Tobago,>50K
Private,Bachelors,Married-spouse-absent,Transport-moving,Not-in-family,White,Male,Trinadad&Tobago,>50K
Without-pay,Doctorate,Widowed,Protective-serv,Other-relative,Asian-Pac-Islander,Male,Germany,>50K
Federal-gov,Prof-school,Widowed,Exec-managerial,Wife,Amer-Indian-Eskimo,Female,Trinadad&Tobago,>50K
Self-emp-not-inc,7th-8th,Married-civ-spouse,Machine-op-inspct,Other-relative,Black,Male,Scotland,<=50K
Self-emp-not-inc,Prof-school,Married-civ-spouse,Farming-fishing,Wife,Black,Male,Cuba,>50K
Local-gov,12th,Married-AF-spouse,Armed-Forces,Unmarried,Asian-Pac-Islander,Male,Cambodia,<=50K
Local-gov,9th,Widowed,Prof-specialty,Not-in-family,Amer-Indian-Eskimo,Male,Guatemala,>50K
Self-emp-not-inc,Bachelors,Never-married,Transport-moving,Husband,Other,Male,Ireland,<=50K
Federal-gov,Bachelors,Married-spouse-absent,Sales,Own-child,Other,Male,Columbia,<=50K
Private,12th,Divorced,Handlers-cleaners,Not-in-family,Other,Male,Puerto-Rico,<=50K
Private,HS-grad,Never-married,Handlers-cleaners,Not-in-family,Asian-Pac-Islander,Female,Taiwan,<=50K
Federal-gov,Bachelors,Never-married,Protective-serv,Not-in-family,White,Female,United-States,<=50K
Self-emp-inc,Some-college,Never-married,Adm-clerical,Not-in-family,Amer-Indian-Eskimo,Female,South,<=50K
Self-emp-inc,Some-college,Widowed,Prof-specialty,Not-in-family,Black,Male,Holland-Netherlands,>50K
Self-emp-not-inc,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K
Self-emp-inc,Some-college,Widowed,Prof-specialty,Husband,Asian-Pac-Islander,Male,Thailand,>50K
Private,10th,Never-married,Sales,Own-child,White,Female,United-States,<=50K
Private,5th-6th,Widowed,Sales,Husband,Other,Male,Ireland,>50K
Self-emp-not-inc,Preschool,Widowed,Tech-support,Wife,Black,Female,Scotland,>50K
Self-emp-not-inc,12th,Separated,Transport-moving,Husband,Amer-Indian-Eskimo,Male,Mexico,<=50K
Self-emp-inc,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,Cuba,>50K
Federal-gov,12th,Married-spouse-absent,Transport-moving,Not-in-family,White,Female,Scotland,>50K
Private,Some-college,Never-married,Sales,Own-child,White,Female,United-States,<=50K
Private,1st-4th,Married-spouse-absent,Other-service,Husband,Asian-Pac-Islander,Female,Laos,>50K
Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,United-States,>50K
Private,5th-6th,Widowed,Other-service,Husband,White,Female,Dominican-Republic,>50K
Private,9th,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,<=50K
Self-emp-inc,HS-grad,Divorced,Transport-moving,Wife,Amer-Indian-Eskimo,Male,Jamaica,<=50K
Private,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K
Local-gov,1st-4th,Divorced,Transport-moving,Husband,Amer-Indian-Eskimo,Female,Cuba,>50K
Self-emp-not-inc,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,United-States,<=50K
Self-emp-inc,12th,Married-civ-spouse,Priv-house-serv,Not-in-family,White,Female,Portugal,<=50K
Federal-gov,1st-4th,Divorced,Exec-managerial,Own-child,Other,Male,Cuba,<=50K
Private,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,United-States,<=50K
Self-emp-not-inc,12th,Married-AF-spouse,Craft-repair,Unmarried,Other,Female,Cuba,<=50K
Without-pay,Masters,Married-AF-spouse,Farming-fishing,Own-child,White,Male,Iran,<=50K
Self-emp-not-inc,HS-grad,Divorced,Other-service,Unmarried,White,Female,Columbia,<=50K
Private,10th,Never-married,Craft-repair,Own-child,White,Male,United-States,<=50K
State-gov,Preschool,Separated,Armed-Forces,Unmarried,Black,Female,Yugoslavia,<=50K
Self-emp-inc,Assoc-voc,Divorced,Machine-op-inspct,Husband,Other,Male,Honduras,<=50K
Self-emp-inc,HS-grad,Never-married,Tech-support,Other-relative,White,Female,Ecuador,<=50K
Local-gov,Bachelors,Married-AF-spouse,Tech-support,Unmarried,Asian-Pac-Islander,Male,Poland,>50K
Self-emp-inc,9th,Widowed,Sales,Own-child,White,Female,Vietnam,>50K
Federal-gov,Assoc-acdm,Married-AF-spouse,Adm-clerical,Husband,Asian-Pac-Islander,Male,France,<=50K
Private,HS-grad,Separated,Tech-support,Not-in-family,Black,Female,United-States,<=50K
Without-pay,12th,Never-married,Protective-serv,Other-relative,Asian-Pac-Islander,Male,El-Salvador,>50K
Without-pay,Assoc-voc,Married-civ-spouse,Sales,Husband,White,Female,Hungary,>50K
Self-emp-inc,7th-8th,Married-AF-spouse,Tech-support,Other-relative,Asian-Pac-Islander,Female,France,>50K
Private,Preschool,Married-AF-spouse,Tech-support,Husband,White,Male,Cuba,<=50K
Local-gov,11th,Divorced,Tech-support,Not-in-family,Other,Female,Hong,>50K
State-gov,Assoc-voc,Divorced,Priv-house-serv,Husband,White,Female,Poland,>50K
State-gov,Masters,Widowed,Tech-support,Other-relative,Amer-Indian-Eskimo,Male,Peru,>50K
Private,HS-grad,Married-civ-spouse,Protective-serv,Husband,Black,Male,United-States,>50K
Private,HS-grad,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,United-States,<=50K
Self-emp-inc,9th,Never-married,Prof-specialty,Wife,Other,Male,Iran,<=50K
Federal-gov,Assoc-voc,Divorced,Sales,Not-in-family,Black,Female,Hong,>50K
Local-gov,Assoc-voc,Widowed,Sales,Other-relative,White,Male,Dominican-Republic,<=50K
State-gov,Assoc-voc,Separated,Farming-fishing,Husband,Amer-Indian-Eskimo,Male,Honduras,<=50K
Self-emp-inc,11th,Separated,Sales,Not-in-family,Black,Male,Japan,>50K
Self-emp-not-inc,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,Greece,<=50K
Private,1st-4th,Married-civ-spouse,Prof-specialty,Husband,White,Male,Columbia,<=50K
Federal-gov,9th,Divorced,Priv-house-serv,Unmarried,White,Female,Portugal,>50K
Local-gov,11th,Married-civ-spouse,Armed-Forces,Unmarried,White,Female,Columbia,>50K
Federal-gov,Doctorate,Married-AF-spouse,Protective-serv,Own-child,Black,Female,United-States,<=50K
State-gov,Doctorate,Married-civ-spouse,Sales,Own-child,Asian-Pac-Islander,Female,Italy,<=50K
Without-pay,HS-grad,Married-civ-spouse,Prof-specialty,Unmarried,Black,Male,South,<=50K
Local-gov,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,<=50K
Self-emp-inc,Prof-school,Never-married,Armed-Forces,Husband,Amer-Indian-Eskimo,Male,Yugoslavia,>50K
Without-pay,Assoc-acdm,Married-spouse-absent,Priv-house-serv,Wife,Other,Female,Laos,>50K
Federal-gov,11th,Never-married,Armed-Forces,Unmarried,Black,Female,El-Salvador,<=50K
Without-pay,7th-8th,Never-married,Craft-repair,Husband,Amer-Indian-Eskimo,Male,United-States,<=50K
Without-pay,Bachelors,Separated,Craft-repair,Other-relative,White,Female,Thailand,<=50K
Local-gov,Masters,Widowed,Priv-house-serv,Husband,Asian-Pac-Islander,Male,Cambodia,>50K
Private,Doctorate,Widowed,Adm-clerical,Own-child,Asian-Pac-Islander,Female,South,>50K
Private,Bachelors,Separated,Exec-managerial,Unmarried,White,Male,United-States,>50K
Self-emp-not-inc,HS-grad,Married-civ-spouse,Prof-specialty,Husband,White,Male,Germany,<=50K
Without-pay,Assoc-acdm,Married-civ-spouse,Protective-serv,Other-relative,Asian-Pac-Islander,Male,Cambodia,>50K
Private,11th,Separated,Exec-managerial,Husband,Other,Male,Italy,>50K
State-gov,1st-4th,Married-AF-spouse,Farming-fishing,Wife,Black,Male,Hungary,<=50K
Self-emp-not-inc,Masters,Married-civ-spouse,Transport-moving,Own-child,Other,Male,France,<=50K
Private,Bachelors,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,United-States,<=50K
Private,HS-grad,Never-married,Handlers-cleaners,Own-child,White,Male,United-States,<=50K
Local-gov,9th,Widowed,Farming-fishing,Other-relative,Asian-Pac-Islander,Female,Scotland,<=50K
Self-emp-inc,5th-6th,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,Japan,<=50K
Self-emp-inc,Bachelors,Widowed,Adm-clerical,Unmarried,Other,Female,Nicaragua,<=50K
State-gov,9th,Married-civ-spouse,Handlers-cleaners,Not-in-family,Asian-Pac-Islander,Male,Germany,>50K
Self-emp-not-inc,5th-6th,Divorced,Transport-moving,Own-child,Amer-Indian-Eskimo,Female,Italy,<=50K
Private,Assoc-acdm,Separated,Exec-managerial,Own-child,White,Male,Dominican-Republic,>50K
Self-emp-not-inc,9th,Married-civ-spouse,Sales,Wife,Amer-Indian-Eskimo,Female,Greece,>50K
State-gov,7th-8th,Married-AF-spouse,Tech-support,Husband,Amer-Indian-Eskimo,Female,Taiwan,<=50K
Local-gov,10th,Married-civ-spouse,Other-service,Husband,Other,Female,Germany,<=50K
Self-emp-inc,Masters,Married-AF-spouse,Exec-managerial,Not-in-family,Black,Female,Puerto-Rico,<=50K
State-gov,Some-college,Never-married,Exec-managerial,Own-child,White,Female,United-States,<=50K
Local-gov,7th-8th,Widowed,Armed-Forces,Wife,Black,Female,Yugoslavia,<=50K
Private,HS-grad,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,United-States,<=50K
Self-emp-not-inc,Bachelors,Married-civ-spouse,Exec-managerial,Wife,White,Female,United-States,>50K
Private,Some-college,Never-married,Sales,Own-child,White,Female,United-States,<=50K
Federal-gov,Some-college,Married-spouse-absent,Prof-specialty,Unmarried,White,Female,Japan,<=50K
State-gov,Masters,Married-spouse-absent,Handlers-cleaners,Wife,Black,Male,Germany,<=50K
Federal-gov,7th-8th,Married-civ-spouse,Machine-op-inspct,Not-in-family,Asian-Pac-Islander,Female,Greece,<=50K
Self-emp-inc,Assoc-acdm,Widowed,Priv-house-serv,Own-child,Amer-Indian-Eskimo,Female,Poland,>50K
Self-emp-inc,HS-grad,Never-married,Farming-fishing,Not-in-family,Black,Male,Germany,>50K
Private,Preschool,Divorced,Protective-serv,Own-child,Asian-Pac-Islander,Female,Yugoslavia,<=50K
State-gov,Bachelors,Married-AF-spouse,Protective-serv,Own-child,Black,Female,Scotland,>50K
Self-emp-inc,Bachelors,Divorced,Exec-managerial,Own-child,Other,Female,China,<=50K
Self-emp-inc,HS-grad,Widowed,Other-service,Husband,Asian-Pac-Islander,Female,Columbia,<=50K
Private,Some-college,Never-married,Other-service,Own-child,White,Male,United-States,<=50K
Private,11th,Married-civ-spouse,Handlers-cleaners,Own-child,Amer-Indian-Eskimo,Male,Trinadad&Tobago,>50K
Self-emp-inc,12th,Married-AF-spouse,Armed-Forces,Other-relative,Black,Female,India,>50K
Federal-gov,Assoc-acdm,Divorced,Armed-Forces,Not-in-family,Black,Male,Honduras,<=50K
Federal-gov,Assoc-voc,Married-AF-spouse,Handlers-cleaners,Own-child,White,Male,Honduras,>50K
Self-emp-not-inc,Prof-school,Married-civ-spouse,Adm-clerical,Other-relative,Black,Female,Scotland,>50K
Private,Some-college,Married-spouse-absent,Farming-fishing,Own-child,White,Male,United-States,<=50K
Self-emp-inc,HS-grad,Married-AF-spouse,Sales,Other-relative,Amer-Indian-Eskimo,Male,Nicaragua,>50K
Self-emp-not-inc,1st-4th,Married-civ-spouse,Machine-op-inspct,Other-relative,Black,Male,Honduras,>50K
Private,HS-grad,Never-married,Other-service,Own-child,White,Female,Mexico,<=50K
Local-gov,5th-6th,Married-civ-spouse,Other-service,Husband,White,Male,United-States,<=50K
Self-emp-inc,Preschool,Separated,Other-service,Husband,Asian-Pac-Islander,Male,United-States,<=50K
Self-emp-inc,Assoc-acdm,Separated,Sales,Unmarried,Black,Male,Outlying-US(Guam-USVI-etc),<=50K
Private,HS-grad,Never-married,Craft-repair,Not-in-family,White,Male,United-States,<=50K
Private,1st-4th,Married-AF-spouse,Armed-Forces,Own-child,Amer-Indian-Eskimo,Female,South,<=50K
Private,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K
Self-emp-inc,HS-grad,Widowed,Exec-managerial,Own-child,Asian-Pac-Islander,Male,England,<=50K
Self-emp-inc,1st-4th,Married-civ-spouse,Priv-house-serv,Not-in-family,Other,Female,Taiwan,>50K
Self-emp-inc,Masters,Separated,Adm-clerical,Wife,Other,Female,Haiti,<=50K
State-gov,1st-4th,Married-spouse-absent,Tech-support,Own-child,Other,Male,Germany,<=50K
Local-gov,1st-4th,Widowed,Protective-serv,Wife,White,Female,Trinadad&Tobago,>50K
Private,Some-college,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,<=50K
Self-emp-not-inc,1st-4th,Married-AF-spouse,Farming-fishing,Own-child,Asian-Pac-Islander,Female,Mexico,<=50K
Local-gov,5th-6th,Separated,Prof-specialty,Husband,White,Female,South,>50K
Self-emp-inc,Prof-school,Separated,Exec-managerial,Unmarried,Amer-Indian-Eskimo,Female,Outlying-US(Guam-USVI-etc),<=50K
Private,Prof-school,Married-civ-spouse,Exec-managerial,Other-relative,Asian-Pac-Islander,Female,Japan,>50K
Self-emp-not-inc,HS-grad,Married-civ-spouse,Protective-serv,Own-child,Asian-Pac-Islander,Male,Cambodia,<=50K
Private,5th-6th,Never-married,Craft-repair,Wife,Amer-Indian-Eskimo,Female,Greece,<=50K
Private,12th,Married-AF-spouse,Armed-Forces,Husband,Other,Male,France,>50K
Self-emp-inc,Assoc-voc,Married-civ-spouse,Adm-clerical,Husband,White,Female,Portugal,<=50K
Private,7th-8th,Never-married,Armed-Forces,Wife,White,Male,France,<=50K
Self-emp-inc,7th-8th,Widowed,Craft-repair,Other-relative,White,Male,Hong,>50K
Self-emp-inc,12th,Separated,Machine-op-inspct,Own-child,Other,Female,Guatemala,>50K
Self-emp-not-inc,5th-6th,Separated,Tech-support,Wife,Other,Female,Laos,>50K
Private,Bachelors,Married-spouse-absent,Handlers-cleaners,Husband,Asian-Pac-Islander,Female,Mexico,<=50K
Local-gov,1st-4th,Separated,Armed-Forces,Husband,Asian-Pac-Islander,Female,Puerto-Rico,>50K
Private,HS-grad,Married-civ-spouse,Tech-support,Husband,White,Male,United-States,<=50K
State-gov,Some-college,Married-AF-spouse,Craft-repair,Wife,Asian-Pac-Islander,Female,Puerto-Rico,>50K
Private,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,<=50K
Federal-gov,Bachelors,Married-civ-spouse,Adm-clerical,Husband,Asian-Pac-Islander,Male,Philippines,>50K
Without-pay,5th-6th,Divorced,Priv-house-serv,Wife,White,Female,Nicaragua,<=50K
Local-gov,Some-college,Separated,Adm-clerical,Husband,Asian-Pac-Islander,Male,Taiwan,>50K
State-gov,Bachelors,Married-spouse-absent,Handlers-cleaners,Husband,Asian-Pac-Islander,Male,India,<=50K
Without-pay,Doctorate,Separated,Other-service,Own-child,Amer-Indian-Eskimo,Female,Outlying-US(Guam-USVI-etc),>50K
Without-pay,Masters,Married-AF-spouse,Protective-serv,Not-in-family,Other,Female,Portugal,>50K
Private,Preschool,Widowed,Farming-fishing,Unmarried,Other,Female,Puerto-Rico,>50K
State-gov,Bachelors,Married-AF-spouse,Prof-specialty,Other-relative,Black,Male,Germany,>50K
Self-emp-inc,5th-6th,Married-AF-spouse,Sales,Husband,White,Male,Hungary,>50K
